# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
8.000000000000000E+09	-4.763969534077145E+00	-1.513625313474727E+02	-2.201894438084737E+00	-5.840214863697820E+01	-2.197954860774967E+00	-5.851236178229458E+01	-4.810479901943254E+00	-1.528285047080463E+02	
8.016235055635213E+09	-4.779712102208617E+00	-1.513908796124788E+02	-2.188119947740109E+00	-5.846831694091031E+01	-2.187006951125355E+00	-5.856792820384145E+01	-4.823574914021452E+00	-1.527202187612643E+02	
8.032503058399389E+09	-4.786247083527552E+00	-1.515505219467811E+02	-2.174267149491858E+00	-5.848837779047647E+01	-2.173655558163923E+00	-5.859402404792088E+01	-4.832604699919898E+00	-1.527304060743315E+02	
8.048804075154778E+09	-4.819776120613207E+00	-1.517449468068788E+02	-2.165520150504957E+00	-5.839536524224128E+01	-2.163180376540740E+00	-5.850979092467014E+01	-4.870123992571450E+00	-1.528898211250031E+02	
8.065138172899440E+09	-4.846830349553930E+00	-1.517205483364415E+02	-2.141205990542870E+00	-5.841433407827949E+01	-2.140020392333014E+00	-5.853262056045573E+01	-4.891515381997710E+00	-1.528212458437417E+02	
8.081505418767274E+09	-4.869082358039879E+00	-1.517562384613499E+02	-2.125872699919757E+00	-5.847700538715608E+01	-2.124767977099243E+00	-5.858206845102032E+01	-4.911665949797430E+00	-1.528099701082082E+02	
8.097905880028548E+09	-4.894033366178638E+00	-1.518055294036243E+02	-2.103887909619344E+00	-5.863865709861265E+01	-2.102514051300152E+00	-5.875213937467170E+01	-4.944607828331536E+00	-1.529391914436749E+02	
8.114339624089917E+09	-4.917088517777729E+00	-1.518760235537945E+02	-2.085803900854010E+00	-5.888844641695344E+01	-2.084896106137438E+00	-5.899414671727330E+01	-4.975161316087213E+00	-1.530727676073041E+02	
8.130806718494961E+09	-4.953279591192258E+00	-1.519984821373918E+02	-2.077751529769727E+00	-5.894783123067470E+01	-2.077079741579528E+00	-5.905764318057669E+01	-5.010763858340476E+00	-1.533035866071940E+02	
8.147307230924198E+09	-4.977913863915020E+00	-1.520099306256284E+02	-2.062806054136336E+00	-5.896453802378965E+01	-2.062825588090827E+00	-5.907838880899990E+01	-5.022267541487883E+00	-1.534693767504874E+02	
8.163841229195632E+09	-5.008079994220572E+00	-1.520071294161269E+02	-2.055527396238989E+00	-5.906629936517143E+01	-2.053536220053538E+00	-5.917256837098717E+01	-5.056473248381796E+00	-1.536146076974738E+02	
8.180408781264757E+09	-5.024364713696226E+00	-1.519215195764335E+02	-2.040478483259873E+00	-5.936300284788220E+01	-2.040707771039119E+00	-5.947301001250266E+01	-5.088533172677896E+00	-1.537441841605722E+02	
8.197009955225115E+09	-5.012548045560605E+00	-1.519496008436846E+02	-2.033627732908784E+00	-5.971633067498129E+01	-2.035425464306420E+00	-5.981175085402308E+01	-5.078812011113119E+00	-1.538839886482001E+02	
8.213644819308295E+09	-5.028852130892848E+00	-1.521543024672614E+02	-2.044201313123295E+00	-5.980513390961151E+01	-2.044019567287262E+00	-5.991277724203508E+01	-5.096976545079369E+00	-1.541754576782616E+02	
8.230313441884494E+09	-5.045470700508485E+00	-1.523621912398983E+02	-2.049155912714324E+00	-5.976226797358928E+01	-2.047008650274958E+00	-5.987770944048152E+01	-5.108588420880336E+00	-1.544800235067956E+02	
8.247015891462520E+09	-5.055676027343056E+00	-1.523973193069328E+02	-2.047017046899672E+00	-5.979786102154309E+01	-2.045296184247135E+00	-5.989922794948979E+01	-5.115845172724774E+00	-1.545490268691261E+02	
8.263752236690347E+09	-5.049701816673680E+00	-1.523642277630333E+02	-2.041069792964596E+00	-6.002751969713059E+01	-2.040333259992454E+00	-6.012690345474586E+01	-5.124127992666418E+00	-1.545684923688310E+02	
8.280522546355128E+09	-5.049013772257409E+00	-1.523008370933466E+02	-2.043520230005614E+00	-6.016206209900650E+01	-2.044787338203970E+00	-6.025415833792001E+01	-5.124065360701144E+00	-1.544716987570421E+02	
8.297326889383747E+09	-5.050322136031379E+00	-1.522858799550197E+02	-2.042001073375165E+00	-6.012019017790753E+01	-2.041523957188942E+00	-6.021400338219622E+01	-5.125198043612209E+00	-1.544084462927860E+02	
8.314165334842830E+09	-5.059140592747059E+00	-1.526370613811133E+02	-2.047055237714936E+00	-6.004388523888952E+01	-2.044722423435842E+00	-6.016716582841809E+01	-5.130377680776296E+00	-1.546760595832046E+02	
8.331037951939301E+09	-5.081434477802627E+00	-1.527867925432242E+02	-2.030216368111388E+00	-6.000245617304650E+01	-2.030033969626061E+00	-6.010968531785843E+01	-5.148855148086827E+00	-1.547909248842811E+02	
8.347944810020399E+09	-5.085596616708697E+00	-1.529350750656864E+02	-2.018043755330594E+00	-6.015266761443824E+01	-2.017639249456416E+00	-6.023590776121885E+01	-5.158150235010637E+00	-1.548522573621275E+02	
8.364885978574225E+09	-5.088512103964785E+00	-1.529941015378013E+02	-2.009962448012470E+00	-6.039970081508985E+01	-2.009314407808705E+00	-6.049018873842758E+01	-5.161038922345130E+00	-1.548118759925565E+02	
8.381861527229767E+09	-5.111340946018261E+00	-1.530875097576920E+02	-2.016377009863838E+00	-6.040490324944528E+01	-2.014002179365263E+00	-6.049889116211263E+01	-5.188225541966869E+00	-1.547708157680024E+02	
8.398871525757451E+09	-5.152730512382981E+00	-1.532520235321490E+02	-2.009815852510493E+00	-6.022196205979866E+01	-2.008443499931874E+00	-6.034382356632579E+01	-5.221281743988106E+00	-1.548933086606241E+02	
8.415916044069157E+09	-5.162549251133509E+00	-1.532429954852180E+02	-1.985062523282791E+00	-6.028616209298310E+01	-1.984292092617129E+00	-6.036536448585288E+01	-5.237714549035219E+00	-1.548644538226054E+02	
8.432995152218746E+09	-5.157015913546060E+00	-1.533371663613966E+02	-1.970339079818061E+00	-6.039971590098126E+01	-1.969072303496658E+00	-6.046839589639868E+01	-5.244212422653906E+00	-1.549312324117699E+02	
8.450108920402246E+09	-5.165920032256254E+00	-1.534975317012835E+02	-1.942499883459946E+00	-6.071990718640808E+01	-1.941947853670952E+00	-6.078446180184239E+01	-5.259526906764165E+00	-1.551275264128568E+02	
8.467257418958035E+09	-5.198307858719350E+00	-1.534856609451299E+02	-1.943229495575944E+00	-6.093040958116201E+01	-1.941786724107404E+00	-6.100696285709446E+01	-5.290583998612534E+00	-1.551588745982772E+02	
8.484440718367372E+09	-5.238011713819173E+00	-1.535848997482913E+02	-1.953821083048924E+00	-6.088388040751676E+01	-1.951252950738721E+00	-6.096809463928594E+01	-5.343509647253923E+00	-1.553203645498162E+02	
